category_id,category_name
2,Voitures
3,Motos
4,Caravaning
5,Utilitaires
6,Équipement auto
7,Nautisme
9,Ventes immobilières
10,Locations
11,Colocations
12,Locations saisonnières
13,Bureaux & Commerces
15,Ordinateurs
16,"Photo, audio & vidéo"
17,Téléphones & Objets connectés
19,Ameublement
20,Électroménager
21,Bricolage
22,Vêtements
23,Équipement bébé
25,DVD - Films
26,CD - Musique
27,Livres
28,Animaux
29,Sport & Plein air
30,Instruments de musique
32,Équipements industriels
33,Offres d'emploi
34,Autres services
35,Billetterie
36,Cours particuliers
38,Autres
39,Décoration
40,Collection
41,Jeux & Jouets
42,Montres & Bijoux
43,Consoles
44,Équipement moto
45,Arts de la table
46,Linge de maison
47,Accessoires & Bagagerie
48,Vins & Gastronomie
49,Évènements
50,Équipement caravaning
51,Équipement nautisme
52,Jardin & Plantes
53,Chaussures
54,Vêtements bébé
55,Vélos
57,Matériel agricole
58,Manutention - Levage
59,BTP - Chantier gros-oeuvre
61,Équipements pour restaurants & hôtels
62,Équipements & Fournitures de bureau
63,Équipements pour commerces & marchés
64,Matériel médical
65,Covoiturage
74,Formations professionnelles
76,Accessoires animaux
77,Animaux perdus
80,Mobilier enfant
81,Accessoires téléphone & Objets connectés
82,Tablettes & Liseuses
83,Accessoires informatique
84,Jeux vidéo
85,Équipements vélos
86,Modélisme
88,Loisirs créatifs
89,Antiquités
92,Services de déménagement
93,Services de réparations mécaniques
95,Services de réparations électroniques
96,Papeterie & Fournitures scolaires
97,Services de jardinerie & bricolage
98,Services évènementiels
99,Services à la personne
100,Baby-Sitting
101,Artistes & Musiciens
102,Services aux animaux
103,Entraide entre voisins
105,Tracteurs
106,Poids lourds
